SRSNo,eventNo,hitX,hitY,time_diff_range_cut,totcharge,time_diff,time_diff_cor,charge_time_res
31565,25402,49.572067731047326,27.19482672704409,True,14.063921422506018,10.026249168859152,0.004822993610174464,41.46627336607898
31566,25403,43.40077862674243,23.643236421558957,True,23.17171054746928,10.037620270139172,0.016735466302669977,32.759423279740695
31567,25404,40.057774373929796,22.01074649863047,True,20.315934698236124,10.054129769011922,0.03338915971641043,34.21721473676681
31568,25405,47.503234497488364,31.968655207385755,True,29.660300942146122,9.972094782127414,-0.049669618377404134,31.213179634664684
31572,25409,50.31513318623582,27.5531155311898,True,4.746738546317156,10.227186495115347,0.19888015628035483,86.01184495619752
31573,25410,44.95952391951052,28.058480929021965,True,25.907048165243637,10.024533812765071,0.0033508792166099255,31.896565807939492
31574,25411,41.41129977082553,28.371133543040653,True,6.9555372601507415,10.012384425123003,-0.013233736063705592,67.8438259097765
31575,25412,50.79191411684637,24.270012045559817,True,3.206201130490888,10.849739736408594,0.8189590843300198,111.50287403320709
31577,25414,40.700240670818175,29.966841632372713,True,9.839024852894065,10.00525113423862,-0.018013936434915223,53.21358067162291
31579,25416,43.728662725997296,30.870683304251056,True,13.71358825964708,10.0590591401874,0.037534639201320275,42.1494566947878
31580,25417,40.42917695763993,31.155981089970837,True,8.715949112947165,10.085265730996554,0.061215060237922,58.0605076720156
31581,25418,47.12891199817396,26.715058705578112,True,15.513668491275418,10.189106276381636,0.16800556675384115,39.03844078319007
31582,25419,44.791594152581204,26.368328408019185,True,35.35860744989377,10.029219343358363,0.006340550446871873,30.74225785383179
31584,25421,40.07438168460376,30.15988313335262,True,2.8126981419492925,10.347240496995994,0.3157340601652674,124.5720152333962
31585,25422,47.95443317988148,21.599417882422877,True,4.132175489387966,10.161352160154792,0.13212502394883963,93.56566751790486
31588,25425,46.4940742597188,26.34681871492569,True,18.031822648205967,10.02237013512601,0.0015738654621593184,36.02424655075632
31589,25426,47.2618299510381,28.6107248541427,True,12.24645453117725,9.993849193448,-0.028182585373334845,45.502559881974946
31590,25427,42.287547385855895,21.186159839368845,True,5.089196850041589,10.179317297497903,0.1514888277972659,82.50420728989283
31591,25428,50.14566536472268,26.165346250142136,True,5.604398228549455,10.224354239290875,0.19720004725664175,77.83408527709392
31592,25429,39.00791048023799,27.12556206690122,True,7.017218331572076,10.034742434567676,0.009186997756744475,67.44694058005479
31593,25430,41.468214165674496,29.980432196839214,True,15.264518425178453,10.017432025193074,-0.0037158798983423225,39.413833702279994
31595,25432,45.03055922625816,24.68551413653648,True,13.024987669593395,9.955740790639027,-0.06600174953447002,43.61834606555894
31598,25435,49.7666714289417,31.16096282331911,True,3.6530428681243103,10.057875973912559,0.027871091230279532,101.36892740631603
31600,25437,47.49214250747472,24.964962737201013,True,8.024578086044496,10.058247227799399,0.03363368720262194,61.54738049929696
31601,25438,48.099412212633105,29.799200397648224,True,8.8076530225035,9.99984389013619,-0.02413685565605661,57.628588234479885
31602,25439,42.890513380912886,29.957190369906492,True,4.375910520467752,10.051363199006204,0.022511262242881358,90.32606612664596
31604,25441,42.04709076554808,24.288124293497162,True,3.8542448526759134,10.097227579989323,0.06755592751546935,97.80786078940275
31605,25442,44.392995233405124,28.752867424324766,True,16.319721533669906,10.044366900481634,0.023396297606826266,37.928453396257616
31608,25445,39.8530232677721,28.125760457287097,True,16.01965570510995,10.01664963080566,-0.004365502727161186,38.32380741787867
31610,25447,46.048311050624065,26.025362223795014,True,30.080050687984567,10.054127492514027,0.03228886165891964,31.1606888262917
31611,25448,48.194431409443894,23.20771517818921,True,8.331536419448856,10.026663873323315,0.0023081753354894374,59.94752875231545
31612,25449,48.81558394758669,26.472873870640584,True,16.593975227922844,10.054745885515501,0.03381211402883366,37.58451703772636
31613,25450,40.950689603204594,29.90579808901434,True,12.837384457314382,9.989582346569051,-0.03222559075697795,44.04959842847822
31614,25451,39.68309397240208,30.694120276464176,True,7.297393793534513,10.13458256189557,0.10930447634459384,65.69881779313252
31616,25453,41.06345498071958,22.173581711233478,True,9.717653449961816,10.016820831765443,-0.006521992598285564,53.69334472081246
31619,25456,44.90078902571169,27.441853980495505,True,31.518091428271678,10.06746912718819,0.045365176497041304,31.00703829606617
31620,25457,46.956785593947316,30.67241739246943,True,3.1289303464641955,9.929864433639636,-0.1010555190833049,113.6859592297466
31622,25459,42.19192510108425,32.86260150230094,True,6.796846008080841,10.096649032786758,0.07086667577205041,68.88573793212464
31623,25460,48.580475846382036,27.911996763046474,True,33.26882105699306,9.981127923543625,-0.041318840906175325,30.864642996247202
31624,25461,38.977874912627755,23.811654809403095,True,7.152087027120394,9.996660878373632,-0.028759514551900622,66.59443752190298
31625,25462,41.21884536743164,21.71289295039765,True,15.303867842439002,10.032458875028368,0.011318652419422648,39.35347197079041
31628,25465,45.52950056938276,20.407102401942424,True,6.562426856163514,10.193574833729485,0.16754234981230987,70.48204957382325
31629,25466,39.95375270059664,26.239984172664276,True,15.562777834299938,10.002747389989906,-0.018344418396020856,38.96632589103248
31631,25468,44.643057261427785,23.06209344733251,True,19.90765825798389,10.229730488381136,0.20899264531874984,34.490421773777626
